agno,almacenamiento,biomasa,carbon,diesel,eolica,fuel oil,gas natural,geotermia,hidraulica embalse,hidraulica pasada,hidraulica serie,solar csp,solar fv
2017,0.0,4360.465200000001,31521.596699999995,753.8856,4921.11734,0.0,699.64923,438.0,8991.81347,6990.585220000003,8957.21169,807.2874,5766.733930000002
2018,0.0,4360.465200000001,33431.704719999994,753.8856,4921.11734,0.0,1147.77067,438.0,8991.81346,6990.585220000003,8957.21169,807.2874,5766.733930000002
2019,0.0,4360.465200000001,35136.16252,753.8856,4921.11734,0.0,818.2262200000001,438.0,11405.72787,6179.50153,9881.74226,807.2874,5766.733930000002
2020,0.0,4366.3132000000005,36984.58586000001,755.95104,4932.262390000001,0.0,1864.79596,439.2,11420.126400000001,6193.038449999999,9904.61238,809.5738100000001,5803.802839999998
2021,0.0,4305.71832,32475.96402,753.8856,11429.366259999995,0.0,767.4886,438.0,11405.72787,6179.50153,9881.74226,807.2874,6905.159680000002
2022,0.0,4317.941680000001,34794.25896,753.8856,11429.366259999995,0.0,1810.1345600000002,438.0,11405.72787,6179.50153,9881.74226,807.2874,7245.458510000001
2023,0.0,4284.41352,32368.433799999995,753.8856,11470.822269999995,0.0,1418.06821,438.0,11405.72787,6179.50153,9881.74226,807.2874,12705.304790000002
2024,0.0,4248.2827800000005,30616.91228,755.95104,15011.819799999997,0.0,934.8336999999999,439.2,11420.126400000001,6193.038449999999,9904.61238,809.5738100000001,13511.02659
2025,0.0,4025.2266200000004,27536.907320000002,737.90493,16274.11786,0.0,2449.36353,438.0,11405.72787,6179.50153,9881.74226,807.2874,15883.423670000002
2026,0.0,4045.08397,27819.901220000003,753.8856,16596.21226,0.0,3314.46285,438.0,11405.727859999999,6179.50153,9881.74226,807.2874,16115.075410000001
2027,0.0,3986.7093800000007,26541.998130000004,727.207,18811.97597,0.0,4306.385340000001,438.0,11405.72787,6179.50153,9881.74226,807.2874,16497.103440000003
2028,0.0,3899.0797000000007,26657.203169999997,704.3150400000001,20064.674189999994,0.0,4594.25976,439.2,11420.126400000001,6193.038449999999,9904.61238,809.5738100000001,16869.346349999996
2029,0.0,3858.215640000001,25345.767600000003,717.5973199999999,24126.285030000003,0.0,4239.787,438.0,11405.72787,6179.50153,9881.74226,807.2874,17052.730990000004
2030,0.0,3840.737380000001,21497.86378,703.1102,25955.579149999998,0.0,3565.56242,438.0,11405.72787,6179.50153,9881.74226,4967.44786,18008.6716
2031,0.0,3493.8746100000003,12487.20557,590.11342,31149.45421,0.0,1732.8022799999999,438.0,11405.72787,6179.50153,9881.74226,11487.66235,19990.6322
