Offset,ID_Sector,ID_Gas,Agno_ini,Agno_fin,Abatimiento_max,Costo
Electrificacion_motriz_mineria,27,1,2020,2050,0.9,-114
Electrificacion_motriz_industria,27,1,2020,2050,1.2,-97
SST_Industria_mineria,27,1,2020,2050,2.5,-70
Electrificacion_motriz_cobre,27,1,2020,2050,1.85,-58
Electrificacion_motriz_comercial,27,1,2020,2050,1.2,-32
Generacion_biogas,27,1,2020,2050,0.5,0
Electrificacion_termica,27,1,2020,2050,1.5,75
Hy_usos_motrices,27,1,2020,2050,4.95,-52
Hy_verde,27,1,2020,2050,3.65,-50
Hy_usos_termicos_via_gasoductos,27,1,2020,2050,0.1,188
Generacion_distribuida,27,1,2020,2050,0.2,-385
Renovacion_energetica_viviendas,27,1,2020,2050,4.5,-78
SST_Residencial_publico,27,1,2020,2050,1.55,-65
Calefaccion_elec_publico_comercial,27,1,2020,2050,0.35,-52
Geotermia,27,1,2020,2050,0.005,-17
RT_Viviendas_vulnerables,27,1,2020,2050,0.3,124
Calefaccion_distrital,27,1,2020,2050,0.005,315
Ley_eficiencia_energetica,27,1,2020,2050,1.3,-126
Energetica,27,1,2020,2050,0.55,-111
MEPS_Nuevos,27,1,2020,2050,1.05,292
offset_compostaje_planta,27,1,2020,2050,0.11,17
offset_compostaje_ferias,27,1,2020,2050,0.06,1
offset_compostaje_domiciliario,27,1,2020,2050,0.01,1
offset_mejora_alimen_bovinos,27,1,2020,2050,0.2,25.2
offset_inhibidoresN2_fert,27,1,2020,2050,0.1,1
offset_agricultura_organica,27,1,2020,2050,0.1,14.3
offset_secuestro_CO2,27,1,2020,2050,0.04,2
offset_biodigestores,27,1,2020,2050,0.1,20.3
offset_mejor_genetico_veg,27,1,2020,2050,0.04,62.2
offset_secuestro_CO2_organico,27,1,2020,2050,0.1,1
offset_ERNC_riego,27,1,2020,2050,0.1,1
offset_capturaCO2_bosquenativo,27,1,2020,2050,0.01,587
offset_fomento_forestacion,27,1,2020,2050,4.4,5
