GEI,agno,offset
Electrificacion_motriz_mineria,2017,0
Electrificacion_motriz_mineria,2018,0
Electrificacion_motriz_mineria,2019,0
Electrificacion_motriz_mineria,2020,0.9
Electrificacion_motriz_mineria,2021,0.9
Electrificacion_motriz_mineria,2022,0.9
Electrificacion_motriz_mineria,2023,0.9
Electrificacion_motriz_mineria,2024,0.9
Electrificacion_motriz_mineria,2025,0.9
Electrificacion_motriz_mineria,2026,0.9
Electrificacion_motriz_mineria,2027,0.9
Electrificacion_motriz_mineria,2028,0.9
Electrificacion_motriz_mineria,2029,0.9
Electrificacion_motriz_mineria,2030,0.9
Electrificacion_motriz_mineria,2031,0.9
Electrificacion_motriz_mineria,2032,0.9
Electrificacion_motriz_mineria,2033,0.9
Electrificacion_motriz_mineria,2034,0.9
Electrificacion_motriz_mineria,2035,0.9
Electrificacion_motriz_mineria,2036,0.9
Electrificacion_motriz_mineria,2037,0.9
Electrificacion_motriz_mineria,2038,0.9
Electrificacion_motriz_mineria,2039,0.9
Electrificacion_motriz_mineria,2040,0.9
Electrificacion_motriz_mineria,2041,0.9
Electrificacion_motriz_mineria,2042,0.9
Electrificacion_motriz_mineria,2043,0.9
Electrificacion_motriz_mineria,2044,0.9
Electrificacion_motriz_mineria,2045,0.9
Electrificacion_motriz_mineria,2046,0.9
Electrificacion_motriz_mineria,2047,0.9
Electrificacion_motriz_mineria,2048,0.9
Electrificacion_motriz_mineria,2049,0.9
Electrificacion_motriz_mineria,2050,0.9
Electrificacion_motriz_industr,2017,0
Electrificacion_motriz_industr,2018,0
Electrificacion_motriz_industr,2019,0
Electrificacion_motriz_industr,2020,1.2
Electrificacion_motriz_industr,2021,1.2
Electrificacion_motriz_industr,2022,1.2
Electrificacion_motriz_industr,2023,1.2
Electrificacion_motriz_industr,2024,1.2
Electrificacion_motriz_industr,2025,1.2
Electrificacion_motriz_industr,2026,1.2
Electrificacion_motriz_industr,2027,1.2
Electrificacion_motriz_industr,2028,1.2
Electrificacion_motriz_industr,2029,1.2
Electrificacion_motriz_industr,2030,1.2
Electrificacion_motriz_industr,2031,1.2
Electrificacion_motriz_industr,2032,1.2
Electrificacion_motriz_industr,2033,1.2
Electrificacion_motriz_industr,2034,1.2
Electrificacion_motriz_industr,2035,1.2
Electrificacion_motriz_industr,2036,1.2
Electrificacion_motriz_industr,2037,1.2
Electrificacion_motriz_industr,2038,1.2
Electrificacion_motriz_industr,2039,1.2
Electrificacion_motriz_industr,2040,1.2
Electrificacion_motriz_industr,2041,1.2
Electrificacion_motriz_industr,2042,1.2
Electrificacion_motriz_industr,2043,1.2
Electrificacion_motriz_industr,2044,1.2
Electrificacion_motriz_industr,2045,1.2
Electrificacion_motriz_industr,2046,1.2
Electrificacion_motriz_industr,2047,1.2
Electrificacion_motriz_industr,2048,1.2
Electrificacion_motriz_industr,2049,1.2
Electrificacion_motriz_industr,2050,1.2
SST_Industria_mineria         ,2017,0
SST_Industria_mineria         ,2018,0
SST_Industria_mineria         ,2019,0
SST_Industria_mineria         ,2020,2.5
SST_Industria_mineria         ,2021,2.5
SST_Industria_mineria         ,2022,2.5
SST_Industria_mineria         ,2023,2.5
SST_Industria_mineria         ,2024,2.5
SST_Industria_mineria         ,2025,2.5
SST_Industria_mineria         ,2026,2.5
SST_Industria_mineria         ,2027,2.5
SST_Industria_mineria         ,2028,2.5
SST_Industria_mineria         ,2029,2.5
SST_Industria_mineria         ,2030,2.5
SST_Industria_mineria         ,2031,2.5
SST_Industria_mineria         ,2032,2.5
SST_Industria_mineria         ,2033,2.5
SST_Industria_mineria         ,2034,2.5
SST_Industria_mineria         ,2035,2.5
SST_Industria_mineria         ,2036,2.5
SST_Industria_mineria         ,2037,2.5
SST_Industria_mineria         ,2038,2.5
SST_Industria_mineria         ,2039,2.5
SST_Industria_mineria         ,2040,2.5
SST_Industria_mineria         ,2041,2.5
SST_Industria_mineria         ,2042,2.5
SST_Industria_mineria         ,2043,2.5
SST_Industria_mineria         ,2044,2.5
SST_Industria_mineria         ,2045,2.5
SST_Industria_mineria         ,2046,2.5
SST_Industria_mineria         ,2047,2.5
SST_Industria_mineria         ,2048,2.5
SST_Industria_mineria         ,2049,2.5
SST_Industria_mineria         ,2050,2.5
Electrificacion_motriz_cobre  ,2017,0
Electrificacion_motriz_cobre  ,2018,0
Electrificacion_motriz_cobre  ,2019,0
Electrificacion_motriz_cobre  ,2020,1.85
Electrificacion_motriz_cobre  ,2021,1.85
Electrificacion_motriz_cobre  ,2022,1.85
Electrificacion_motriz_cobre  ,2023,1.85
Electrificacion_motriz_cobre  ,2024,1.85
Electrificacion_motriz_cobre  ,2025,1.85
Electrificacion_motriz_cobre  ,2026,1.85
Electrificacion_motriz_cobre  ,2027,1.85
Electrificacion_motriz_cobre  ,2028,1.85
Electrificacion_motriz_cobre  ,2029,1.85
Electrificacion_motriz_cobre  ,2030,1.85
Electrificacion_motriz_cobre  ,2031,1.85
Electrificacion_motriz_cobre  ,2032,1.85
Electrificacion_motriz_cobre  ,2033,1.85
Electrificacion_motriz_cobre  ,2034,1.85
Electrificacion_motriz_cobre  ,2035,1.85
Electrificacion_motriz_cobre  ,2036,1.85
Electrificacion_motriz_cobre  ,2037,1.85
Electrificacion_motriz_cobre  ,2038,1.85
Electrificacion_motriz_cobre  ,2039,1.85
Electrificacion_motriz_cobre  ,2040,1.85
Electrificacion_motriz_cobre  ,2041,1.85
Electrificacion_motriz_cobre  ,2042,1.85
Electrificacion_motriz_cobre  ,2043,1.85
Electrificacion_motriz_cobre  ,2044,1.85
Electrificacion_motriz_cobre  ,2045,1.85
Electrificacion_motriz_cobre  ,2046,1.85
Electrificacion_motriz_cobre  ,2047,1.85
Electrificacion_motriz_cobre  ,2048,1.85
Electrificacion_motriz_cobre  ,2049,1.85
Electrificacion_motriz_cobre  ,2050,1.85
Electrificacion_motriz_comerci,2017,0
Electrificacion_motriz_comerci,2018,0
Electrificacion_motriz_comerci,2019,0
Electrificacion_motriz_comerci,2020,1.2
Electrificacion_motriz_comerci,2021,1.2
Electrificacion_motriz_comerci,2022,1.2
Electrificacion_motriz_comerci,2023,1.2
Electrificacion_motriz_comerci,2024,1.2
Electrificacion_motriz_comerci,2025,1.2
Electrificacion_motriz_comerci,2026,1.2
Electrificacion_motriz_comerci,2027,1.2
Electrificacion_motriz_comerci,2028,1.2
Electrificacion_motriz_comerci,2029,1.2
Electrificacion_motriz_comerci,2030,1.2
Electrificacion_motriz_comerci,2031,1.2
Electrificacion_motriz_comerci,2032,1.2
Electrificacion_motriz_comerci,2033,1.2
Electrificacion_motriz_comerci,2034,1.2
Electrificacion_motriz_comerci,2035,1.2
Electrificacion_motriz_comerci,2036,1.2
Electrificacion_motriz_comerci,2037,1.2
Electrificacion_motriz_comerci,2038,1.2
Electrificacion_motriz_comerci,2039,1.2
Electrificacion_motriz_comerci,2040,1.2
Electrificacion_motriz_comerci,2041,1.2
Electrificacion_motriz_comerci,2042,1.2
Electrificacion_motriz_comerci,2043,1.2
Electrificacion_motriz_comerci,2044,1.2
Electrificacion_motriz_comerci,2045,1.2
Electrificacion_motriz_comerci,2046,1.2
Electrificacion_motriz_comerci,2047,1.2
Electrificacion_motriz_comerci,2048,1.2
Electrificacion_motriz_comerci,2049,1.2
Electrificacion_motriz_comerci,2050,1.2
Generacion_biogas             ,2017,0
Generacion_biogas             ,2018,0
Generacion_biogas             ,2019,0
Generacion_biogas             ,2020,0.5
Generacion_biogas             ,2021,0.5
Generacion_biogas             ,2022,0.5
Generacion_biogas             ,2023,0.5
Generacion_biogas             ,2024,0.5
Generacion_biogas             ,2025,0.5
Generacion_biogas             ,2026,0.5
Generacion_biogas             ,2027,0.5
Generacion_biogas             ,2028,0.5
